motivo_rejeicao,nome_original_csv,nome_limpo,spacy_pessoa,spacy_entidades,estado,data_publicacao,tipo_ato,cargo,orgao,assinante,cargo_assinante,categoria_assinante,governador_edicao,representante_governo,origem_representante,fonte_url,arquivo_markdown,arquivo_csv,linha_csv
tem_numero;termo_administrativo,FICA REVOGADA A PORTARIA Nº 1517/2012. 1 - SMEC (,FICA REVOGADA A PORTARIA Nº 1517/2012. 1 - SMEC (,sim,FICA REVOGADA:LOC|PORTARIA Nº 1517/2012:ORG|SMEC:MISC|Fica Revogada A Portaria Nº 1517/2012:LOC|Smec:PER,RJ,2012-12-13,nomeacao,,,,,,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFd0Wk1GRlVTVFJSVlVsMFQxUlJlRkpETURCUFZWcEhURlJuTVUxclVYUk9SRUpGVGxSamQwMXFTWGROUkZFMFRWUmpNMDlVUVRGT1JHdDZUbWM5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2012\12\DOERJ_DO_CAMPOS_PODER_EXECUTIVO_2012-12-13.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2012.csv,50
tem_numero;termo_administrativo,ID FUNCIONAL Nº 3252354-8,ID FUNCIONAL Nº 3252354-8,sim,ID FUNCIONAL:PER,RJ,2012-12-12,exoneracao,do cargo em comissão de Diretor,da Superintendência Técnica Administrativa,,Secretario,5,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VG5wWk1VMTZVVFJOVlZsMFQxUkNRbEpUTURCTlJVMDFURlJzUmsxRlRYUlJlbXQzVFhwSmVrNXJXVEZTVkVKRlRWUmpNMDlVUVRGT1ZFMTNUVUU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2012\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2012-12-12.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2012.csv,53
tem_numero;termo_administrativo,ID FUNCIONAL Nº 5000669-0,ID FUNCIONAL Nº 5000669-0,sim,ID FUNCIONAL:PER,RJ,2012-12-06,exoneracao,do cargo em comissão de Assessor,,,Secretario,5,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VGtSc1JWSlVZM3BSZWsxMFRucE5NRTE1TURCU2ExWkZURlJzUmxGcVdYUk5hbHBDVVhwTmVsRnFXVE5OTUZWM1RWUmpNMDlVUVRGT2FsRTBUVUU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2012\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2012-12-06.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2012.csv,90
termo_administrativo,MARCELLE LEONARDO BRAGA CARGO,MARCELLE LEONARDO BRAGA CARGO,sim,MARCELLE LEONARDO BRAGA CARGO:MISC|Marcelle Leonardo Braga Cargo:PER,RJ,2012-11-14,nomeacao,,,,Secretario,5,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VGtWUk5VMXFRWGxTVkdOMFRsUlZlVkZUTURCUlZVVXlURlZLUjA1VlZYUk9hbEpFVDFWTmVGSnFWa05SZWtaQ1RWUmpNMDlVUVRKTmFtdDVUa0U5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2012\11\DOERJ_PARTE_I_PODER_EXECUTIVO_2012-11-14.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2012.csv,230
tem_numero;muito_longo,31 DE OUTUBRO DE 2012 PATRÍCIA CORDEIRO ALVES =PRESIDENTE DA FCJOL= COORDENADORIA DE INFRAESTRUTURA,31 DE OUTUBRO DE 2012 PATRÍCIA CORDEIRO ALVES =PRESIDENTE DA FCJOL= COORDENADORIA DE INFRAESTRUTURA,sim,OUTUBRO:MISC|CORDEIRO ALVES:MISC|COORDENADORIA DE INFRAESTRUTURA:MISC|De Outubro:MISC|Patrícia Cordeiro Alves:PER,RJ,2012-11-08,exoneracao,,,,,,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVRCS1ExSkZXWGxPTUVsMFRucGFRMUpETURCUmExVjNURlJuTTFGcVFYUk9SR1JIVFZSa1IxSnFSWGRSTUU1RVRWUmpNMDlVUVRKTmVtZDNUbEU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2012\11\DOERJ_DO_CAMPOS_PODER_EXECUTIVO_2012-11-08.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2012.csv,356
termo_administrativo,ROSANGELA NUNES DA COSTA CARGO EM COMISSÃO DE ASSESSOR,ROSANGELA NUNES DA COSTA CARGO EM COMISSÃO DE ASSESSOR,sim,ROSANGELA NUNES:MISC|COSTA CARGO:MISC|Rosangela Nunes Da Costa Cargo:PER,RJ,2012-11-05,exoneracao,,,,Secretario,5,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFVSR1IwMUVTa0pQVlUxMFRrUlJORTFwTURCT1JGSkZURlJyTkZGcVFYUk9lbEpGVWxWSmVVNTZUVFZQVlZrMFRWUmpNMDlVUVRKT1JGVXpUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2012\11\DOERJ_PARTE_I_PODER_EXECUTIVO_2012-11-05.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2012.csv,408
tem_numero,MARCADA PARA SETEMBRO DE 2014. ENTIDADES GOVERNAMENTAIS,MARCADA PARA SETEMBRO DE 2014. ENTIDADES GOVERNAMENTAIS,sim,MARCADA:LOC|SETEMBRO:ORG|GOVERNAMENTAIS:MISC|Marcada Para Setembro:MISC|Entidades Governamentais:PER,RJ,2012-10-29,nomeacao,,,,,,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVdwc1ExSlVXWHBPUkZsMFVrUkNRMDE1TURCT2Ftc3pURlZLUmsxRlJYUlJhMWt4VDBSSk1FNTZWWGxPYW1zMFRWUmpNMDlVUVRKT2FrRXlUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2012\10\DOERJ_DO_CAMPOS_PODER_EXECUTIVO_2012-10-29.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2012.csv,440
tem_numero,24 DE OUTUBRO DE 2012. ROSINHA GAROTINHO -PREFEITAID: 1400002,24 DE OUTUBRO DE 2012. ROSINHA GAROTINHO -PREFEITAID: 1400002,sim,OUTUBRO:MISC|ROSINHA GAROTINHO:MISC|24 De Outubro:MISC|Rosinha Garotinho:PER,RJ,2012-10-26,exoneracao,,,,,,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFZScmVFOUVUVEpSVlVsMFVXcG5ORTE1TURCT1ZHTXlURlZKTkZKVVFYUlBSVlV6VVZWWk5GRlVVa1JOYWxFeVRWUmpNMDlVUVRKT2Vra3pUV2M5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2012\10\DOERJ_DO_CAMPOS_PODER_EXECUTIVO_2012-10-26.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2012.csv,446
termo_administrativo,AGENTE ADMINISTRATIVO II,AGENTE ADMINISTRATIVO II,sim,AGENTE ADMINISTRATIVO II:PER,RJ,2012-10-05,nomeacao,para exercer o cargo em comissão de Secretário II,do Departamento Geral de Administração e Finanças,,Secretario,5,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFRCWk5GRlVaM2xQVkVWMFVsUm9SbEpwTURCT01FcEhURlJvUlUxVlRYUk5WRnBFVFd0R1JrNUVRVEpTYW1ONlRWUmpNMDlVUVRWTmVra3hUbWM5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2012\10\DOERJ_PARTE_I_PODER_EXECUTIVO_2012-10-05.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2012.csv,585
termo_administrativo,ASSISTENTE SOCIAL,ASSISTENTE SOCIAL,sim,Assistente Social:PER,RJ,2012-10-02,nomeacao,para exercer o cargo em comissão de Diretor,do Departamento Geral de Serviço Social,,Secretario,5,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFd0R1IxRnJWVFZSVkdOMFRXdE5OVTVETURCT1JGVXpURlZGTVU1NmEzUlNSRUV5VDBWYVJGSlZWVEJOVkd4Q1RWUmpNMDlVUVRWTmVtc3lUVUU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2012\10\DOERJ_PARTE_I_PODER_EXECUTIVO_2012-10-02.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2012.csv,601
tem_numero;termo_administrativo,ID FUNCIONAL Nº5015946-1,ID FUNCIONAL Nº5015946-1,sim,ID FUNCIONAL:PER,RJ,2013-12-13,exoneracao,do cargo em comissão de Auxiliar de Gabinete,do Departamento de Recursos Minerais -DRM,,Secretario,5,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDBST1FsSlVVWGROUkZsMFVrVlpNbEpETURCTmFrazFURlJuZWs1clJYUlJWRTE1VFRCVmVWSlVVa1ZSVkUwMFRWUmpNMDlFYTNkT2Vra3pUbWM5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2013\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2013-12-13.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2013.csv,120
tem_numero;termo_administrativo,ID FUNCIONAL Nº4331185,ID FUNCIONAL Nº4331185,sim,ID FUNCIONAL:PER,RJ,2013-12-13,exoneracao,do cargo em comissão de Assistente II,,,Secretario,5,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDBST1FsSlVVWGROUkZsMFVrVlpNbEpETURCTmFrazFURlJuZWs1clJYUlJWRTE1VFRCVmVWSlVVa1ZSVkUwMFRWUmpNMDlFYTNkT2Vra3pUbWM5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2013\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2013-12-13.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2013.csv,126
tem_numero;termo_administrativo,ID FUNCIONAL Nº 5014586-0,ID FUNCIONAL Nº 5014586-0,sim,ID FUNCIONAL:PER,RJ,2013-12-10,exoneracao,do cargo em comissão de Assessor-Chefe,,,Governador,1,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVdwRmQxSkVVa2RSTUVsMFVrUlZOVkpUTURCT2VrMDFURlZKZVUxNlozUk5SVkpEVFZSRk5GSnJVVFZPYWxsNlRWUmpNMDlFYTNkT2VtTXhUMEU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2013\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2013-12-10.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2013.csv,140
tem_numero,21 DE NOVEMBRO DE 2013. DR. JOSE MANUEL CORREIA MOREIRA - PRESIDENTE / FMS,21 DE NOVEMBRO DE 2013. DR. JOSE MANUEL CORREIA MOREIRA - PRESIDENTE / FMS,sim,DR:ORG|MANUEL CORREIA MOREIRA:MISC|FMS:ORG|Dr. Jose Manuel Correia Moreira:PER,RJ,2013-11-28,exoneracao,,,,Secretario,5,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVd0SmQwOVVSVEZQVlUxMFQwUlNSRTFUTURCT1JGRTBURlJuZDFKclVYUk5NRVY1VFdwUk1FMXJVVEZOVkVreFRWUmpNMDlFYTNoTlJFbDNUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2013\11\DOERJ_DO_CAMPOS_PODER_EXECUTIVO_2013-11-28.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2013.csv,222
termo_administrativo,ASSISTENTE PREVIDENCIÁRIO,ASSISTENTE PREVIDENCIÁRIO,sim,PREVIDENCIÁRIO:LOC|Assistente Previdenciário:PER,RJ,2013-11-22,nomeacao,para exercer o cargo em comissão de Assessor,,,Secretario,5,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDBSQk5FOUZUa1JQUkd0MFRrVlNRazVUTURCUmVrMHpURlJvUms1RlNYUlNha3BIVFhwUmVGSkVZM2hPVlZVelRWUmpNMDlFYTNoTlZHY3hUbWM5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2013\11\DOERJ_PARTE_I_PODER_EXECUTIVO_2013-11-22.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2013.csv,246
tem_numero;termo_administrativo,ID 3126667-3,ID 3126667-3,sim,ID 3126667-3:PER,RJ,2013-11-14,exoneracao,do cargo em comissão de Gerente,do Instituto Estadual de Siqueira Arthur tendência de Hematologia de Unidades prias,,Secretario,5,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VWxSU1JFMUVWWGhTYTFWMFRsUlNSMUZUTURCT2FtUkNURlZGZDFKcVVYUk5SRTB5VDFSVmVFMTZhek5OVkdNd1RWUmpNMDlFYTNoTmVsRXpUbEU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2013\11\DOERJ_PARTE_I_PODER_EXECUTIVO_2013-11-14.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2013.csv,316
termo_administrativo,BIANCA COUTO REIS RESSIGUIER NO CARGO DE CIRURGIÃO DENTISTA,BIANCA COUTO REIS RESSIGUIER NO CARGO DE CIRURGIÃO DENTISTA,sim,BIANCA:ORG|CARGO DE CIRURGIÃO DENTISTA:ORG|Bianca Couto Reis Ressiguier:PER,RJ,2013-11-13,nomeacao,,,,,,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VGxWSmVWSlVZM3BPTUZGMFRXcGtSbEZUTURCT1JVMHhURlJvUjA1NlJYUlBSR3N6VFdwbmVrMTZiRWRPVkZFd1RWUmpNMDlFYTNoTmVtZDVUMEU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2013\11\DOERJ_DO_CAMPOS_PODER_EXECUTIVO_2013-11-13.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2013.csv,324
termo_administrativo,FELIPE ESTITES BUSSADE NO CARGO DE CIRURGIÃO DENTISTA,FELIPE ESTITES BUSSADE NO CARGO DE CIRURGIÃO DENTISTA,sim,FELIPE ESTITES BUSSADE:MISC|CARGO DE CIRURGIÃO DENTISTA:MISC|Felipe Estites:PER,RJ,2013-11-08,nomeacao,,,,,,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFdwTmQwMXFaRUpOVkd0MFVWVkZNVkpETURCUFJFNUNURlJvUjFKRWEzUk5WRWw1VFdwUmVrMXFVa1ZPVkU1RVRWUmpNMDlFYTNoT1JGRjRUMEU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2013\11\DOERJ_DO_CAMPOS_PODER_EXECUTIVO_2013-11-08.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2013.csv,361
tem_numero;termo_administrativo,ID FUNCIONAL Nº 2064004-8,ID FUNCIONAL Nº 2064004-8,sim,ID FUNCIONAL:PER,RJ,2013-11-07,exoneracao,do cargo em comissão de Assistente I,do Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ,,Secretario,5,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFVWSk5FMVVWWHBPVkd0MFRXcFJkMDU1TURCUmEwa3lURlJuZWxGclRYUlJlazB4VGtSVk5WRXdTWGhQVkVsNVRWUmpNMDlFYTNoT1JGVXhUbmM5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2013\11\DOERJ_PARTE_I_PODER_EXECUTIVO_2013-11-07.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2013.csv,369
tem_numero;termo_administrativo,ID FUNCIONAL Nº 1952963-5,ID FUNCIONAL Nº 1952963-5,sim,ID FUNCIONAL:PER,RJ,2013-11-05,nomeacao,para exercer o cargo em comissão de Consultor Geral Tributário,,,Governador,1,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFVSRmVrOVZUa1ZQVkZWMFRXcFNSazU1TURCT1ZGWkdURlJvUTAwd1NYUlJla1pDVFdwak0wNXJWVFZQVkdoRlRWUmpNMDlFYTNoT1ZGRjVUMUU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2013\11\DOERJ_PARTE_I_PODER_EXECUTIVO_2013-11-05.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2013.csv,397
termo_administrativo;muito_longo,LEANDRO SOARES MACHADO NO CARGO DE TÉCNICO DE ELETROTÉCNICA. O MESMO DEVERÁ COMPARECER NA,LEANDRO SOARES MACHADO NO CARGO DE TÉCNICO DE ELETROTÉCNICA. O MESMO DEVERÁ COMPARECER NA,sim,LEANDRO SOARES MACHADO:MISC|CARGO DE TÉCNICO:MISC|ELETROTÉCNICA:MISC|Leandro Soares Machado No Cargo De Técnico:PER,RJ,2013-11-01,nomeacao,,,,,,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VG1wbk1GSkVSa0pOYWsxMFRXdGFSRTE1TURCUmFtaEhURlJuTWxGcVFYUlJWRnBIVDBWRk0wNUZWVEJPYTFaRFRWUmpNMDlFYTNoT2Fra3dUbWM5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2013\11\DOERJ_DO_CAMPOS_PODER_EXECUTIVO_2013-11-01.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2013.csv,451
termo_administrativo,ELIETE CORREA DE RESENDE NO CARGO DE ENFERMEIRO . A MESMA DEVERÁ COMPARECER NA,ELIETE CORREA DE RESENDE NO CARGO DE ENFERMEIRO . A MESMA DEVERÁ COMPARECER NA,sim,ELIETE:LOC|DE RESENDE:MISC|CARGO DE ENFERMEIRO:MISC|MESMA DEVERÁ COMPARECER:MISC|Eliete Correa De Resende:PER,RJ,2013-11-01,nomeacao,,,,,,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VG1wbk1GSkVSa0pOYWsxMFRXdGFSRTE1TURCUmFtaEhURlJuTWxGcVFYUlJWRnBIVDBWRk0wNUZWVEJPYTFaRFRWUmpNMDlFYTNoT2Fra3dUbWM5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2013\11\DOERJ_DO_CAMPOS_PODER_EXECUTIVO_2013-11-01.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2013.csv,452
termo_administrativo;muito_longo,MARCELA CASTELO BRANCO MIRANDA NO CARGO DE MÉDICO GINECOLOGISTA. A MESMA DEVERÁ COMPARECER NA,MARCELA CASTELO BRANCO MIRANDA NO CARGO DE MÉDICO GINECOLOGISTA. A MESMA DEVERÁ COMPARECER NA,sim,MARCELA:ORG|CASTELO BRANCO MIRANDA:LOC|CARGO DE MÉDICO GINECOLOGISTA:MISC|MESMA DEVERÁ COMPARECER:MISC|Marcela Castelo Branco Miranda:PER,RJ,2013-10-29,nomeacao,,,,,,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VG1wWmVsRlViRWRPUkVWMFRqQkplbEY1TURCTlZWWkNURlJyTkZGVVVYUlBSVkpFVFhwQk1FOUZWVEJOUlZwQ1RWUmpNMDlFYTNoT2VrbDNUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2013\10\DOERJ_DO_CAMPOS_PODER_EXECUTIVO_2013-10-29.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2013.csv,473
tem_numero;termo_administrativo,ID FUNCIONAL Nº5009478-5,ID FUNCIONAL Nº5009478-5,sim,ID FUNCIONAL:PER,RJ,2013-10-25,exoneracao,do cargo em comissão de Assistente,,,Secretario,5,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VWxWS1EwMXJVVFZSTUZGMFRXdEdSazE1TURCTlJVcERURlZLUWsxVlNYUlJlbFYzVVZSTmVsRnFhekpSZWxwRFRWUmpNMDlFYTNoT2VsVXhUa0U5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2013\10\DOERJ_PARTE_I_PODER_EXECUTIVO_2013-10-25.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2013.csv,479
termo_administrativo,RENATA DE OLIVEIRA COLODETE MUNIZ NO CARGO DE CIRURGIÃO DENTISTA,RENATA DE OLIVEIRA COLODETE MUNIZ NO CARGO DE CIRURGIÃO DENTISTA,sim,RENATA DE OLIVEIRA COLODETE MUNIZ:MISC|CARGO DE CIRURGIÃO DENTISTA:MISC|Renata De Oliveira Colodete Muniz:PER,RJ,2013-10-23,nomeacao,,,,,,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDFSa1JGSnFRWGhQVkZGMFRsVlpNVTVwTURCU1ZGbDNURlJvUlU5VVVYUk5SRTB6VFVSSk1FNTZaekJOZWxrMFRWUmpNMDlFYTNoUFJFVjZUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2013\10\DOERJ_DO_CAMPOS_PODER_EXECUTIVO_2013-10-23.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2013.csv,494
termo_administrativo,ID FUNCIONAL Nº,ID FUNCIONAL Nº,sim,ID FUNCIONAL:PER,RJ,2013-10-16,nomeacao,,,,,,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDBWUk1VNXJUVEpTYTBsMFQwVlJNVkZUTURCTmFsa3pURlJyTlU1NlZYUk5SRkpFVWtWU1JsRjZRWGRSZW1zelRWUmpNMDlFYTNsTlZHTjVUWGM5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2013\10\DOERJ_PARTE_I_PODER_EXECUTIVO_2013-10-16.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2013.csv,555
termo_administrativo,VIVIAN MORO FONSECA NO CARGO DE ENFERMEIROPSF . A MESMA DEVERÁ COMPARECER NA,VIVIAN MORO FONSECA NO CARGO DE ENFERMEIROPSF . A MESMA DEVERÁ COMPARECER NA,sim,VIVIAN MORO FONSECA:PER,RJ,2013-10-10,nomeacao,,,,Secretario,5,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVd0SmVVMUZTWGhQVlVsMFQwUlJORkY1TURCUmFsSkRURlZLUlU5VWEzUk5WRkV4VFhwbmQwOUZTa0pPVkZrMFRWUmpNMDlFYTNsT1JFa3hUa0U5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2013\10\DOERJ_DO_CAMPOS_PODER_EXECUTIVO_2013-10-10.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2013.csv,638
tem_numero;inicio_suspeito;frase_administrativa;termo_administrativo;muito_longo,POR NÃO CONTAR COM ESTES PROFISSIONAIS NESTA UNIDADE PRISIONAL. PROCESSO Nº E-21/027/99/2013. ID: 1570807,POR NÃO CONTAR COM ESTES PROFISSIONAIS NESTA UNIDADE PRISIONAL. PROCESSO Nº E-21/027/99/2013,nao,ESTES PROFISSIONAIS:MISC|Nº E-21/027/99/2013:MISC|Não Contar:MISC,RJ,2013-10-08,nomeacao,,,,Secretario,5,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVRCR1IxSlVZM3BPVlUxMFVtcGFRMDFwTURCT1JFMTZURlZGTUU1RVozUlNSRnBEVWtSb1FsRjZhekpQUlZVMVRWUmpNMDlFYTNsT1JHTTFUbmM5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2013\10\DOERJ_PARTE_I_PODER_EXECUTIVO_2013-10-08.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2013.csv,639
termo_administrativo,JETRO MEDEIROS PEREIRA NO CARGO DE ENFERMEIRO - PSF. O MESMO DEVERÁ COMPARECER À,JETRO MEDEIROS PEREIRA NO CARGO DE ENFERMEIRO - PSF. O MESMO DEVERÁ COMPARECER À,sim,JETRO MEDEIROS PEREIRA NO CARGO DE ENFERMEIRO:MISC|PSF:MISC|Jetro Medeiros Pereira:PER,RJ,2013-09-26,nomeacao,,,,,,Wilson Jose Witzel - Governador,Wilson Jose Witzel,Executivo estadual,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wc1FsRnFiRU5OYTBsMFVUQkdRbEpwTURCUFZFVjRURlZGZDA5RlNYUk5SRUpEVFdwbmVVNTZhekZPUkdNeFRWUmpNMDlFYTNsT2VrRjVUWGM5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2013\09\DOERJ_DO_CAMPOS_PODER_EXECUTIVO_2013-09-26.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2013.csv,768
