motivo_rejeicao,nome_original_csv,nome_limpo,estado,data_publicacao,tipo_ato,cargo,orgao,fonte_url,arquivo_markdown,arquivo_csv,linha_csv
inicio_suspeito;termo_administrativo,VINCULADA À GERÊNCIA DE GOVERNANÇA E,VINCULADA À GERÊNCIA DE GOVERNANÇA E,RJ,2025-03-28,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VGxSU1JFMHdXWHBQVkdOMFRtdFJORTFwTURCT1JFa3pURlJuTTA0d1RYUk5hMVV4VFhwTmVrOVVXWGROTUUwMVRWUmpNMDU2VlhoT2FsVjVUV2M5UFE9PQ==,LAKE\RJ\2025\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-03-28.md,saida\RJ\DOERJ_2025.csv,7166
tem_numero;inicio_suspeito;frase_administrativa;termo_administrativo;muito_longo,VINCULADA À GERÊNCIA DE CONTRATOS E LICITAÇÕES - GECLA. PROCESSO Nº SEI- 220002/000130/2025,VINCULADA À GERÊNCIA DE CONTRATOS E LICITAÇÕES - GECLA. PROCESSO Nº SEI- 220002/000130/2025,RJ,2025-03-28,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VGxSU1JFMHdXWHBQVkdOMFRtdFJORTFwTURCT1JFa3pURlJuTTA0d1RYUk5hMVV4VFhwTmVrOVVXWGROTUUwMVRWUmpNMDU2VlhoT2FsVjVUV2M5UFE9PQ==,LAKE\RJ\2025\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-03-28.md,saida\RJ\DOERJ_2025.csv,7167
tem_numero;frase_administrativa;termo_administrativo;muito_longo,ACOMPANHAMENTO DE OPERAÇÕES DE CRÉDITO E FUNDES - GECAF. PROCESSO Nº SEI-220002/000119/2025,ACOMPANHAMENTO DE OPERAÇÕES DE CRÉDITO E FUNDES - GECAF. PROCESSO Nº SEI-220002/000119/2025,RJ,2025-03-27,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDBSTk1WSlVSWGRPVkVWMFVWUlNSazlUTURCUlZVWkVURlZKZUZKRlRYUk5WRUpEVVRCU1IwMXJTWGRPVkZKR1RWUmpNMDU2VlhoT2FsVXhUbmM5UFE9PQ==,LAKE\RJ\2025\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-03-27.md,saida\RJ\DOERJ_2025.csv,7198
tem_numero;inicio_suspeito;frase_administrativa;termo_administrativo;muito_longo,VINCULADA À GERÊNCIA DE GESTÃO DE PESSOAS - GEGEP. PROCESSO Nº SEI- 220002/000120/2025,VINCULADA À GERÊNCIA DE GESTÃO DE PESSOAS - GEGEP. PROCESSO Nº SEI- 220002/000120/2025,RJ,2025-03-27,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDBSTk1WSlVSWGRPVkVWMFVWUlNSazlUTURCUlZVWkVURlZKZUZKRlRYUk5WRUpEVVRCU1IwMXJTWGRPVkZKR1RWUmpNMDU2VlhoT2FsVXhUbmM5UFE9PQ==,LAKE\RJ\2025\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-03-27.md,saida\RJ\DOERJ_2025.csv,7199
tem_numero;inicio_suspeito;termo_administrativo;muito_longo,VINCULADA À GERÊNCIA DE INFRAESTRUTURA DE TECNOLOGIA - GEINF. (REFERÊNCIA: PROC SEI-220002/000121/2025),VINCULADA À GERÊNCIA DE INFRAESTRUTURA DE TECNOLOGIA - GEINF. (REFERÊNCIA: PROC SEI-220002/000121/2025),RJ,2025-03-27,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDBSTk1WSlVSWGRPVkVWMFVWUlNSazlUTURCUlZVWkVURlZKZUZKRlRYUk5WRUpEVVRCU1IwMXJTWGRPVkZKR1RWUmpNMDU2VlhoT2FsVXhUbmM5UFE9PQ==,LAKE\RJ\2025\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-03-27.md,saida\RJ\DOERJ_2025.csv,7200
termo_administrativo,LOTADA NA GERÊNCIA DE MICROCRÉDITO - GEMPO,LOTADA NA GERÊNCIA DE MICROCRÉDITO - GEMPO,RJ,2025-03-27,exoneracao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDBSTk1WSlVSWGRPVkVWMFVWUlNSazlUTURCUlZVWkVURlZKZUZKRlRYUk5WRUpEVVRCU1IwMXJTWGRPVkZKR1RWUmpNMDU2VlhoT2FsVXhUbmM5UFE9PQ==,LAKE\RJ\2025\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-03-27.md,saida\RJ\DOERJ_2025.csv,7201
tem_numero;inicio_suspeito;frase_administrativa;termo_administrativo,VINCULADA À AUDITORIA INTERNA - AUDIT. PROCESSO Nº SEI-220002/000133/2025,VINCULADA À AUDITORIA INTERNA - AUDIT. PROCESSO Nº SEI-220002/000133/2025,RJ,2025-03-27,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDBSTk1WSlVSWGRPVkVWMFVWUlNSazlUTURCUlZVWkVURlZKZUZKRlRYUk5WRUpEVVRCU1IwMXJTWGRPVkZKR1RWUmpNMDU2VlhoT2FsVXhUbmM5UFE9PQ==,LAKE\RJ\2025\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-03-27.md,saida\RJ\DOERJ_2025.csv,7202
inicio_suspeito;termo_administrativo,CONFORME O,CONFORME O,RJ,2025-03-25,exoneracao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVhwck1FMVVTVFZPUkd0MFVtdGFSRkpwTURCU1JGSkVURlZHUjA5VVFYUk5NRVpEVGxWV1JGRlVRVEpOUlZaR1RWUmpNMDU2VlhoT2FsVTFUbWM5UFE9PQ==,LAKE\RJ\2025\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-03-25.md,saida\RJ\DOERJ_2025.csv,7229
tem_numero;termo_administrativo,ID. FUNCIONAL Nº 26918528,ID. FUNCIONAL Nº 26918528,RJ,2025-03-25,exoneracao,do Cargo em Comissionado de Assessor de Controle In- terno do Escritório Central da EMATER-RIO,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVhwck1FMVVTVFZPUkd0MFVtdGFSRkpwTURCU1JGSkVURlZHUjA5VVFYUk5NRVpEVGxWV1JGRlVRVEpOUlZaR1RWUmpNMDU2VlhoT2FsVTFUbWM5UFE9PQ==,LAKE\RJ\2025\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-03-25.md,saida\RJ\DOERJ_2025.csv,7230
menos_de_2_tokens;tem_numero,SEI-210001/002090/2025. ID: 2634828,SEI-210001/002090/2025,RJ,2025-03-21,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VWtWWmQwOUVWVFZOUlVsMFRqQldSbEY1TURCTk1Ga3pURlJuTWs0d1RYUk9NRVY0VVZWTmVWRlZXa0pQVlVVelRWUmpNMDU2VlhoT2Fsa3hUWGM5UFE9PQ==,LAKE\RJ\2025\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-03-21.md,saida\RJ\DOERJ_2025.csv,7308
termo_administrativo,ASSISTENTE TÉCNICO DE TRÂNSITO,ASSISTENTE TÉCNICO DE TRÂNSITO,RJ,2025-03-19,exoneracao,,do Departamento de Trânsito do Es- tado do Rio de Janeiro - DETRAN/RJ,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wRmVrNVZSWGRTYW1kMFRUQlZlazU1TURCU1JFVjVURlJyTUU5VVRYUk5WRTB3VWxSVk5VMVZVa1JQUlUxNlRWUmpNMDU2VlhoT2Fsa3lUbWM5UFE9PQ==,LAKE\RJ\2025\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-03-19.md,saida\RJ\DOERJ_2025.csv,7314
menos_de_2_tokens;tem_numero,SEI-210001/2090/2025. ID: 2634148,SEI-210001/2090/2025,RJ,2025-03-19,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wRmVrNVZSWGRTYW1kMFRUQlZlazU1TURCU1JFVjVURlJyTUU5VVRYUk5WRTB3VWxSVk5VMVZVa1JQUlUxNlRWUmpNMDU2VlhoT2Fsa3lUbWM5UFE9PQ==,LAKE\RJ\2025\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-03-19.md,saida\RJ\DOERJ_2025.csv,7354
termo_administrativo,ASSISTENTE TÉCNICO DE TRÂNSITO,ASSISTENTE TÉCNICO DE TRÂNSITO,RJ,2025-03-17,exoneracao,,do Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVRCSk1rMVZSa1ZOZWxWMFQwUm9SMDFETURCTlZFMHpURlZKZWs1VldYUlJWRUV6VW1wWk1rNVVZM2hTVkdSRlRWUmpNMDU2VlhoT2FtTjRUWGM5UFE9PQ==,LAKE\RJ\2025\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-03-17.md,saida\RJ\DOERJ_2025.csv,7420
inicio_suspeito,OS POLICIAIS DA RESERVA REMUNERADA EMPREGADOS NO PROGRAMA TAREFA POR TEMPO CERTO,OS POLICIAIS DA RESERVA REMUNERADA EMPREGADOS NO PROGRAMA TAREFA POR TEMPO CERTO,RJ,2025-03-17,exoneracao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVRCSk1rMVZSa1ZOZWxWMFQwUm9SMDFETURCTlZFMHpURlZKZWs1VldYUlJWRUV6VW1wWk1rNVVZM2hTVkdSRlRWUmpNMDU2VlhoT2FtTjRUWGM5UFE9PQ==,LAKE\RJ\2025\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-03-17.md,saida\RJ\DOERJ_2025.csv,7499
termo_administrativo,ASSISTENTE ADMINISTRATIVO DE SAÚDE,ASSISTENTE ADMINISTRATIVO DE SAÚDE,RJ,2025-03-13,nomeacao,,da Fundação Santa Cabrini - FSC,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VGxWSk5FMTZaRVJPUkd0MFRucGFSMUZUTURCU2FtZDRURlZKTkU1RVozUk9NRmswVVhwUk1rMVVWa05OYTAxNFRWUmpNMDU2VlhoT2FtTXdUVkU5UFE9PQ==,LAKE\RJ\2025\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-03-13.md,saida\RJ\DOERJ_2025.csv,7556
termo_administrativo,ANALISTA DE CONTROLE INTERNO,ANALISTA DE CONTROLE INTERNO,RJ,2025-03-12,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVdwTmQxSnJUa05QVkZGMFQxVkdSVkpUTURCU1ZFNUNURlZGTVUxcVFYUk5hbXhEVWxSSmVsRnFVWGxOYWxGNVRWUmpNMDU2VlhoT2FtTXhUMEU5UFE9PQ==,LAKE\RJ\2025\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-03-12.md,saida\RJ\DOERJ_2025.csv,7614
tem_numero;inicio_suspeito;frase_administrativa;termo_administrativo,VINCULADO À PRESIDÊNCIA - PR. (PROCESSO Nº SEI-220002/000088/2025),VINCULADO À PRESIDÊNCIA - PR. (PROCESSO Nº SEI-220002/000088/2025),RJ,2025-03-12,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVdwTmQxSnJUa05QVkZGMFQxVkdSVkpUTURCU1ZFNUNURlZGTVUxcVFYUk5hbXhEVWxSSmVsRnFVWGxOYWxGNVRWUmpNMDU2VlhoT2FtTXhUMEU5UFE9PQ==,LAKE\RJ\2025\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-03-12.md,saida\RJ\DOERJ_2025.csv,7621
termo_administrativo,ASSISTENTE TÉCNICO ADMINISTRATIVO,ASSISTENTE TÉCNICO ADMINISTRATIVO,RJ,2025-03-11,exoneracao,,do Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VWtSVk5FNVVUVFJPYTFGMFRsUk5NVTlETURCUmFrVjVURlZHUmxGclVYUk5hMFY1VDFSWmVFMVZUWGRQUlZsNFRWUmpNMDU2VlhoT2FtTTFUbWM5UFE9PQ==,LAKE\RJ\2025\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-03-11.md,saida\RJ\DOERJ_2025.csv,7625
termo_administrativo,ASSISTENTE TÉCNICO ADMINISTRATIVO,ASSISTENTE TÉCNICO ADMINISTRATIVO,RJ,2025-02-26,exoneracao,,do Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFhwUk0wNUVRWGxSVlVWMFRucGpORTlUTURCU1JVVXlURlJvUmxKVVkzUk5lbEY1VDFWSk5GRjZVWGRSVlZKR1RWUmpNMDU2VlhoT2FtdDRUMEU5UFE9PQ==,LAKE\RJ\2025\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-02-26.md,saida\RJ\DOERJ_2025.csv,7901
inicio_suspeito;frase_administrativa;termo_administrativo,OS MEMBROS INTEGRANTES,OS MEMBROS INTEGRANTES,RJ,2025-02-26,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFhwUk0wNUVRWGxSVlVWMFRucGpORTlUTURCU1JVVXlURlJvUmxKVVkzUk5lbEY1VDFWSk5GRjZVWGRSVlZKR1RWUmpNMDU2VlhoT2FtdDRUMEU5UFE9PQ==,LAKE\RJ\2025\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-02-26.md,saida\RJ\DOERJ_2025.csv,7956
termo_administrativo,ASSISTENTE TÉCNICO DE TRÂNSITO,ASSISTENTE TÉCNICO DE TRÂNSITO,RJ,2025-02-20,exoneracao,,do Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFVWTk1WSnJUa0pOYWxsMFRsVkZNRTVETURCU2FrVXlURlZLUkUxcWEzUlNhbFUxVVhwa1IwMUVUWGRSYWtKR1RWUmpNMDU2VlhoT2Ftc3lUa0U5UFE9PQ==,LAKE\RJ\2025\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-02-20.md,saida\RJ\DOERJ_2025.csv,8033
termo_administrativo,ASSISTENTE TÉCNICO DE TRÂNSITO,ASSISTENTE TÉCNICO DE TRÂNSITO,RJ,2025-02-20,exoneracao,,do Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFVWTk1WSnJUa0pOYWxsMFRsVkZNRTVETURCU2FrVXlURlZLUkUxcWEzUlNhbFUxVVhwa1IwMUVUWGRSYWtKR1RWUmpNMDU2VlhoT2Ftc3lUa0U5UFE9PQ==,LAKE\RJ\2025\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-02-20.md,saida\RJ\DOERJ_2025.csv,8034
tem_numero,OCORRIDA EM 18 DE SETEMBRO DE 2023,OCORRIDA EM 18 DE SETEMBRO DE 2023,RJ,2025-02-20,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFVWTk1WSnJUa0pOYWxsMFRsVkZNRTVETURCU2FrVXlURlZLUkUxcWEzUlNhbFUxVVhwa1IwMUVUWGRSYWtKR1RWUmpNMDU2VlhoT2Ftc3lUa0U5UFE9PQ==,LAKE\RJ\2025\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-02-20.md,saida\RJ\DOERJ_2025.csv,8056
tem_numero,OCORRIDA EM 03 DE JUNHO DE 2024,OCORRIDA EM 03 DE JUNHO DE 2024,RJ,2025-02-20,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFVWTk1WSnJUa0pOYWxsMFRsVkZNRTVETURCU2FrVXlURlZLUkUxcWEzUlNhbFUxVVhwa1IwMUVUWGRSYWtKR1RWUmpNMDU2VlhoT2Ftc3lUa0U5UFE9PQ==,LAKE\RJ\2025\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-02-20.md,saida\RJ\DOERJ_2025.csv,8059
tem_numero,OCORRIDA EM 01 DE NOVEMBRO DE 2024,OCORRIDA EM 01 DE NOVEMBRO DE 2024,RJ,2025-02-20,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFVWTk1WSnJUa0pOYWxsMFRsVkZNRTVETURCU2FrVXlURlZLUkUxcWEzUlNhbFUxVVhwa1IwMUVUWGRSYWtKR1RWUmpNMDU2VlhoT2Ftc3lUa0U5UFE9PQ==,LAKE\RJ\2025\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-02-20.md,saida\RJ\DOERJ_2025.csv,8060
termo_administrativo,ASSISTENTE TÉCNICO ADMINISTRATIVO,ASSISTENTE TÉCNICO ADMINISTRATIVO,RJ,2025-02-19,exoneracao,,do Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFRCRk1VMUVaM2xTUkZWMFVsUktRMUpwTURCT2EwVXhURlJyTVZKcVozUlBSVVY1VFVSQ1JGSkVTVEZQUlUwd1RWUmpNMDU2VlhoT2FtczBUVUU5UFE9PQ==,LAKE\RJ\2025\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-02-19.md,saida\RJ\DOERJ_2025.csv,8065
termo_administrativo,ASSISTENTE TÉCNICO ADMINISTRATIVO,ASSISTENTE TÉCNICO ADMINISTRATIVO,RJ,2025-02-19,exoneracao,,do Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFRCRk1VMUVaM2xTUkZWMFVsUktRMUpwTURCT2EwVXhURlJyTVZKcVozUlBSVVY1VFVSQ1JGSkVTVEZQUlUwd1RWUmpNMDU2VlhoT2FtczBUVUU5UFE9PQ==,LAKE\RJ\2025\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-02-19.md,saida\RJ\DOERJ_2025.csv,8066
termo_administrativo,LOTADO NA GERÊNCIA DE ADMINISTRAÇÃO - GEADE,LOTADO NA GERÊNCIA DE ADMINISTRAÇÃO - GEADE,RJ,2025-02-18,exoneracao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVZWWk5GSlZUWGhSVkdkMFRUQlJlazFETURCU1JFazFURlJuTTA1NldYUk5SRnBGVVdwWk1sSkViRVJOTUZVeFRWUmpNMDU2VlhoT2VrRjNUVkU5UFE9PQ==,LAKE\RJ\2025\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-02-18.md,saida\RJ\DOERJ_2025.csv,8131
tem_numero;frase_administrativa;termo_administrativo,DOCUMENTAÇÃO E MANUTENÇÃO - GEADM. PROCESSO Nº SEI-220002/000130/2024,DOCUMENTAÇÃO E MANUTENÇÃO - GEADM. PROCESSO Nº SEI-220002/000130/2024,RJ,2025-02-18,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVZWWk5GSlZUWGhSVkdkMFRUQlJlazFETURCU1JFazFURlJuTTA1NldYUk5SRnBGVVdwWk1sSkViRVJOTUZVeFRWUmpNMDU2VlhoT2VrRjNUVkU5UFE9PQ==,LAKE\RJ\2025\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-02-18.md,saida\RJ\DOERJ_2025.csv,8132
tem_numero;inicio_suspeito;frase_administrativa;termo_administrativo;muito_longo,VINCULADA À GERÊNCIA DE COBRANÇA DE OPERAÇÕES DE CRÉDITO - GECOB. PROCESSO Nº SEI-220002/000129/2024,VINCULADA À GERÊNCIA DE COBRANÇA DE OPERAÇÕES DE CRÉDITO - GECOB. PROCESSO Nº SEI-220002/000129/2024,RJ,2025-02-18,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVZWWk5GSlZUWGhSVkdkMFRUQlJlazFETURCU1JFazFURlJuTTA1NldYUk5SRnBGVVdwWk1sSkViRVJOTUZVeFRWUmpNMDU2VlhoT2VrRjNUVkU5UFE9PQ==,LAKE\RJ\2025\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-02-18.md,saida\RJ\DOERJ_2025.csv,8134
termo_administrativo,LOTADA NA PRESIDÊNCIA - PR,LOTADA NA PRESIDÊNCIA - PR,RJ,2025-02-18,exoneracao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVZWWk5GSlZUWGhSVkdkMFRUQlJlazFETURCU1JFazFURlJuTTA1NldYUk5SRnBGVVdwWk1sSkViRVJOTUZVeFRWUmpNMDU2VlhoT2VrRjNUVkU5UFE9PQ==,LAKE\RJ\2025\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-02-18.md,saida\RJ\DOERJ_2025.csv,8135
inicio_suspeito;termo_administrativo,VINCULADA À GEGOV - GERÊNCIA DE GOVERNANÇA E,VINCULADA À GEGOV - GERÊNCIA DE GOVERNANÇA E,RJ,2025-02-18,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVZWWk5GSlZUWGhSVkdkMFRUQlJlazFETURCU1JFazFURlJuTTA1NldYUk5SRnBGVVdwWk1sSkViRVJOTUZVeFRWUmpNMDU2VlhoT2VrRjNUVkU5UFE9PQ==,LAKE\RJ\2025\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-02-18.md,saida\RJ\DOERJ_2025.csv,8136
tem_numero,ID. Nº: 5092693-4,ID. Nº: 5092693-4,RJ,2025-02-18,exoneracao,do Cargo Comissionado de Coordenadora de Recursos Humanos da EMATER-RIO,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVZWWk5GSlZUWGhSVkdkMFRUQlJlazFETURCU1JFazFURlJuTTA1NldYUk5SRnBGVVdwWk1sSkViRVJOTUZVeFRWUmpNMDU2VlhoT2VrRjNUVkU5UFE9PQ==,LAKE\RJ\2025\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-02-18.md,saida\RJ\DOERJ_2025.csv,8137
tem_numero,ID.Nº: 5157613-9,ID.Nº: 5157613-9,RJ,2025-02-18,exoneracao,do Cargo Comissionado de Coordenadora de Administração da Diretoria de Administração e Finanças - DIREA da EMATER-RIO,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVZWWk5GSlZUWGhSVkdkMFRUQlJlazFETURCU1JFazFURlJuTTA1NldYUk5SRnBGVVdwWk1sSkViRVJOTUZVeFRWUmpNMDU2VlhoT2VrRjNUVkU5UFE9PQ==,LAKE\RJ\2025\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-02-18.md,saida\RJ\DOERJ_2025.csv,8139
inicio_suspeito;frase_administrativa;termo_administrativo,AS CANDIDATAS ABAIXO RELACIONADAS,AS CANDIDATAS ABAIXO RELACIONADAS,RJ,2025-02-17,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFdwa1IxRnFZekpOVlUxMFRrUmFSRkpwTURCUFJWa3hURlZKTlZGcVVYUlJla0V4VVd0Vk1rNXFVa05OVkU1RlRWUmpNMDU2VlhoT2VrRjVUVkU5UFE9PQ==,LAKE\RJ\2025\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-02-17.md,saida\RJ\DOERJ_2025.csv,8141
tem_numero;termo_administrativo,AUDITOR FISCAL DA RECEITA ESTADUAL DE 1º CATEGORIA,AUDITOR FISCAL DA RECEITA ESTADUAL DE 1º CATEGORIA,RJ,2025-02-12,nomeacao,para exercer o cargo em comissão de Assessor Especial,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFZWYVJVNTZhM2RTVkZsMFRXdFplRTFUTURCTlZHY3lURlZGTTAxNlozUlNhMWw1VVhwc1JrMVVSa1pTYTFKRVRWUmpNMDU2VlhoT2VrRXlUa0U5UFE9PQ==,LAKE\RJ\2025\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-02-12.md,saida\RJ\DOERJ_2025.csv,8286
termo_administrativo,ANALISTA DE FINANÇAS PÚBLICAS,ANALISTA DE FINANÇAS PÚBLICAS,RJ,2025-02-07,nomeacao,para exercer o cargo em comissão de Coordenador,da Subsecretaria Adjunta de Finan- ças,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFRCUmVrNXJVVEpPZWtWMFVrVlplazFETURCU1ZWbDZURlJyTWs1NlkzUlJlazE2VVd0UmVFOVVUWHBPUkUweFRWUmpNMDU2VlhoT2VrVXhUVUU5UFE9PQ==,LAKE\RJ\2025\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-02-07.md,saida\RJ\DOERJ_2025.csv,8469
tem_numero;frase_administrativa;termo_administrativo;muito_longo,ACOMPANHAMENTO DAS OPERAÇÕES DE CRÉDITO E FUNDES. (REFERÊNCIA: PROCESSO Nº SEI- 220002/000054/2025),ACOMPANHAMENTO DAS OPERAÇÕES DE CRÉDITO E FUNDES. (REFERÊNCIA: PROCESSO Nº SEI- 220002/000054/2025),RJ,2025-02-05,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDBSck5VOUZWWGRSYTFGMFRsVkZkMDVUTURCTlZGRjNURlZHUms1cVkzUlBSVlUxVFZWSk0wNUVWa05OUkU1R1RWUmpNMDU2VlhoT2VrVTBUbWM5UFE9PQ==,LAKE\RJ\2025\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-02-05.md,saida\RJ\DOERJ_2025.csv,8569
inicio_suspeito;frase_administrativa;termo_administrativo,OS MEMBROS DA COMISSÃO ELEITORAL,OS MEMBROS DA COMISSÃO ELEITORAL,RJ,2025-01-29,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFZST1JVNXFTWGRQUkVWMFQxVk5OVTFUTURCUmFsRTBURlJuZVZKRlNYUlJhMVV3VFhwc1FrNUVWWGxSZWtWNVRWUmpNMDU2VlhoT2Vra3hUVUU5UFE9PQ==,LAKE\RJ\2025\01\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-01-29.md,saida\RJ\DOERJ_2025.csv,8805
termo_administrativo,ASSISTENTE TÉCNICO DE IDENTIFICAÇÃO CIVIL,ASSISTENTE TÉCNICO DE IDENTIFICAÇÃO CIVIL,RJ,2025-01-24,exoneracao,,do Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VG1wUk1FNVVTa1pTUkdOMFVsUlZNbEZwTURCT1ZHaERURlJuTWs5RVkzUlJNRlV5VVZWSk1FOUViRU5TUkdjMFRWUmpNMDU2VlhoT2VrazBUa0U5UFE9PQ==,LAKE\RJ\2025\01\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-01-24.md,saida\RJ\DOERJ_2025.csv,8846
