motivo_rejeicao,nome_original_csv,nome_limpo,estado,data_publicacao,tipo_ato,cargo,orgao,fonte_url,arquivo_markdown,arquivo_csv,linha_csv
inicio_suspeito;termo_administrativo,VINCULADO À GERÊNCIA DE GESTÃO DE RISCOS CORPORATIVOS - GERCO,VINCULADO À GERÊNCIA DE GESTÃO DE RISCOS CORPORATIVOS - GERCO,RJ,2025-06-16,exoneracao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VG5wRmVWRnFWVE5OTUVWMFQwUlNRazFUTURCTlJFSkdURlJvUjFKRlVYUk5SR3QzVGxWR1JrMXFTa0pSYTFVeVRWUmpNMDU2VlhoT1ZGVXlUbEU5UFE9PQ==,LAKE\RJ\2025\06\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-06-16.md,saida\RJ\DOERJ_2025.csv,5323
tem_numero;termo_administrativo,BEM COMO QUAISQUER NOMEAÇÕES E EXONERAÇÕES CONFORME O DISPOSTO NO ARTIGO 5º DO,BEM COMO QUAISQUER NOMEAÇÕES E EXONERAÇÕES CONFORME O DISPOSTO NO ARTIGO 5º DO,RJ,2025-06-09,exoneracao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VWtSU1JVMVZXWGhOUkZGMFVtdEZNRTFwTURCU1JGWkRURlJuZDFKclVYUk9SVXBGVGxSVk1rNXJWa2ROYWsxNFRWUmpNMDU2VlhoT1ZGa3pUbmM5UFE9PQ==,LAKE\RJ\2025\06\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-06-09.md,saida\RJ\DOERJ_2025.csv,5518
inicio_suspeito;frase_administrativa;termo_administrativo,SERVIDORES PÚBLICOS,SERVIDORES PÚBLICOS,RJ,2025-06-06,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VWtWUk1VMUZVa1ZTVkZsMFRtdE9SazE1TURCTlZHZDVURlJvUTA1RVZYUk5SR2hIVDFSWk1GRnFSa05PUkd0NlRWUmpNMDU2VlhoT1ZHTjNUa0U5UFE9PQ==,LAKE\RJ\2025\06\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-06-06.md,saida\RJ\DOERJ_2025.csv,5561
inicio_suspeito;termo_administrativo,CONFORME DETERMINAÇÃO DO COMANDO-GERAL,CONFORME DETERMINAÇÃO DO COMANDO-GERAL,RJ,2025-05-26,nomeacao,da função,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VGtSWk1GRjZXVFJPZWxGMFQwVkpNVkZUTURCUmExcEhURlZGTTAxVVozUk9hMWswVFd0Rk1GSlVXWGxPUkVKRlRWUmpNMDU2VlhoT1ZHdDNUVUU5UFE9PQ==,LAKE\RJ\2025\05\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-05-26.md,saida\RJ\DOERJ_2025.csv,5869
tem_numero;termo_administrativo,AUDITOR FISCAL DA RECEITA ESTADUAL 1ª CATEGORIA,AUDITOR FISCAL DA RECEITA ESTADUAL 1ª CATEGORIA,RJ,2025-05-23,nomeacao,para exercer o cargo em comissão de Coordenador,da Subsecretaria de Estado de Receita,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFZSS1IxRXdUWGRPUlUxMFRXcEdRMDVwTURCT1JHc3pURlZGTWxGcVFYUlBWRUV4VFRCYVJGSnJSa05SVlU1Q1RWUmpNMDU2VlhoT1ZHdDVUbEU5UFE9PQ==,LAKE\RJ\2025\05\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-05-23.md,saida\RJ\DOERJ_2025.csv,5889
tem_numero;termo_administrativo,AUDITOR FISCAL DA RECEITA ESTADUAL DE 2º CATEGORIA,AUDITOR FISCAL DA RECEITA ESTADUAL DE 2º CATEGORIA,RJ,2025-05-23,nomeacao,para exercer o cargo em comissão de Chefe de Posto Fiscal,da Superintendência de Fiscalização e Inteligência Fiscal,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFZSS1IxRXdUWGRPUlUxMFRXcEdRMDVwTURCT1JHc3pURlZGTWxGcVFYUlBWRUV4VFRCYVJGSnJSa05SVlU1Q1RWUmpNMDU2VlhoT1ZHdDVUbEU5UFE9PQ==,LAKE\RJ\2025\05\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-05-23.md,saida\RJ\DOERJ_2025.csv,5890
termo_administrativo,ASSISTENTE TÉCNICO DE IDENTIFICAÇÃO CIVIL,ASSISTENTE TÉCNICO DE IDENTIFICAÇÃO CIVIL,RJ,2025-05-21,exoneracao,,do Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wbk1rNVVaM2hTUkZGMFVWVkpORTVETURCT1JFRjZURlJyZVUxNlVYUk9WVVpDVGtSTmQxRnFWa2RTYTFwR1RWUmpNMDU2VlhoT1ZHc3hUMEU5UFE9PQ==,LAKE\RJ\2025\05\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-05-21.md,saida\RJ\DOERJ_2025.csv,5961
tem_numero;termo_administrativo,CAIO CESAR FERRAZ SALIM PEREIRA - MATRÍCULA 2097,CAIO CESAR FERRAZ SALIM PEREIRA - MATRÍCULA 2097,RJ,2025-05-21,nomeacao,para exercer o Cargo de Chefe da Divisão Administrativa,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wbk1rNVVaM2hTUkZGMFVWVkpORTVETURCT1JFRjZURlJyZVUxNlVYUk9WVVpDVGtSTmQxRnFWa2RTYTFwR1RWUmpNMDU2VlhoT1ZHc3hUMEU5UFE9PQ==,LAKE\RJ\2025\05\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-05-21.md,saida\RJ\DOERJ_2025.csv,6005
frase_administrativa;termo_administrativo,PESQUISAS E FORMAÇÃO DE SERVIDORES PÚBLICOS DO ESTADO,PESQUISAS E FORMAÇÃO DE SERVIDORES PÚBLICOS DO ESTADO,RJ,2025-05-15,exoneracao,do cargo em comissão de Secretário I,da Fundação Centro Estadual de Estatística,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVdwSk1VNUVRa1pPUkVWMFRtcFJkMDFETURCTmVsSkdURlZKZUU5VVFYUk9la2sxVFhwVmVFOVVVVEZOUlVWM1RWUmpNMDU2VlhoT2FrRjRUVkU5UFE9PQ==,LAKE\RJ\2025\05\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-05-15.md,saida\RJ\DOERJ_2025.csv,6131
termo_administrativo,LOTADA NA GERÊNCIA DE GESTÃO DE PESSOAS - GEGEP,LOTADA NA GERÊNCIA DE GESTÃO DE PESSOAS - GEGEP,RJ,2025-05-09,exoneracao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VG5wbmQwMXJVVEZOVlZWMFRUQlZNVTFETURCT1JGazFURlZKZDAxRVdYUlJhbU13VG5wamVVMVVhM3BOZWs1R1RWUmpNMDU2VlhoT2FrRTFUVUU5UFE9PQ==,LAKE\RJ\2025\05\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-05-09.md,saida\RJ\DOERJ_2025.csv,6288
