arquivo,linhas_antes,linhas_depois,duplicatas_removidas,status
D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2008.csv,4987,4987,0,atualizado
D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2009.csv,6809,6809,0,atualizado
D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2010.csv,5746,5746,0,atualizado
D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2011.csv,7761,7761,0,atualizado
D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2012.csv,6752,6752,0,atualizado
D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2013.csv,7815,7815,0,atualizado
D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2014.csv,6912,6912,0,atualizado
D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2015.csv,10595,10595,0,atualizado
D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2016.csv,6684,6684,0,atualizado
D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2017.csv,9459,9459,0,atualizado
D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2018.csv,7571,7571,0,atualizado
D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2019.csv,15252,15252,0,atualizado
D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2020.csv,12472,12472,0,atualizado
D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2021.csv,15702,15702,0,atualizado
D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2022.csv,10986,10986,0,atualizado
D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2023.csv,14950,14950,0,atualizado
D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,10042,10042,0,atualizado
D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,10907,10907,0,atualizado
D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2026.csv,10313,10313,0,atualizado
